x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70
-0.0026301164754123363 m,-0.03724129107510521 m,-0.004781952086105434 m,-0.03019186977185484 m,-0.002456016957939511 m,0.004312700275590942 m,-0.017099330705899973 m,-0.014888567309235157 m,-0.03701988814027857 m,-0.026065630354256797 m,-0.02841293187847782 m,-0.004164268231757973 m,-0.002638973512187448 m,0.0020942480825851817 m,-0.0073298021460956875 m,-0.0009868065772167256 m,-0.026706252247297613 m,-0.04445627415146802 m,-0.00381826325977741 m,0.002185784741403296 m,-0.002315833696410863 m,0.002466647219300455 m,0.0012825302973347164 m,-0.03392967095928512 m,-0.014060188646904948 m,-0.0016670714796482855 m,0.019770471879954954 m,0.010658316654982514 m,0.0016536883117481693 m,-0.016624650987925094 m,-0.010783580803231274 m,-0.012371806880576486 m,-0.011946501302549706 m,0.002628197878625116 m,0.007981095011889039 m,0.0026194923434523787 m,0.0003762516067311594 m,-0.002127181237142395 m,-0.039782950825255625 m,-0.038721201243262726 m,0.0013461523367048756 m,0.0026043647541520443 m,-0.028971944949631734 m,-0.01251555508069302 m,-0.008265581530942256 m,0.009087010876573487 m,-0.02257236246338934 m,-0.010288483187533615 m,-0.033885819911752435 m,-0.009374890764831889 m,0.001055238833295391 m,0.004804462112549146 m,-0.037500316325356664 m,-0.01786410617761547 m,-0.018531731008497587 m,-0.03168112278703461 m,0.00757838733537497 m,-0.024049116239837076 m,-0.02795522087188118 m,-0.025274393783192295 m,0.016756951047504742 m,-0.027563418735574885 m,-0.012560379380015974 m,0.007061930138501538 m,-0.005907184573857194 m,-0.030571840356600433 m,-0.012313840022020628 m,0.004424703283000042 m,0.01096289328498301 m,0.00977519950754413 m
0.004930821568464694 m,0.014829895695555706 m,-0.0031342456403784524 m,-0.022206013855733175 m,-0.03424427627677673 m,-0.030586802709365202 m,0.008720050253408829 m,-0.020448471447387817 m,-0.006523392626235136 m,-0.004467506908671481 m,-0.013574393138888752 m,-0.003849493877631005 m,0.0011564124889105187 m,0.00783315333496759 m,-0.003847290474432441 m,0.019151938204977625 m,-0.004940138421940077 m,-0.0038629585502114594 m,0.004068866627836343 m,0.009729513960994751 m,-0.002674230505675723 m,-0.017670007246600505 m,0.023987960560319266 m,0.0006132810104695352 m,0.016808778858745654 m,-0.011169086908836334 m,-0.01969584673681979 m,-0.017406968340530682 m,0.010962485674752998 m,0.015433870133314542 m,-0.02649858800453231 m,-0.016489729005691345 m,-0.024451357986258415 m,-0.004738013036348576 m,0.004958800192280677 m,0.0020544775867108456 m,0.005669921773215236 m,-0.03501384137045349 m,-0.03553731124471682 m,0.003237206628657674 m,-0.004311534015503327 m,-0.008881552386927893 m,-0.034001857233210586 m,0.00719314853257913 m,-0.03459681240958545 m,-0.02186643384943565 m,-0.01450913547640198 m,0.001059590447788139 m,-0.037223758771141036 m,0.0005956233152453194 m,-0.043607705562809684 m,-0.03623924568361758 m,-0.01113435360360171 m,-0.026836113091295744 m,-0.024698281238862307 m,0.0002637285029436498 m,-0.023551916670808026 m,-0.020487690918393753 m,-0.02603770525278648 m,-0.029389728662067682 m,0.015435916455420085 m,-0.011938387721251331 m,0.015573537605618526 m,-0.012697770677661424 m,-0.009544387978849045 m,-0.010120504271924347 m,-0.0017891235041211928 m,-0.002675931874282611 m,0.007610906386229743 m,0.0021332852636852806 m
0.0001547717411050087 m,0.014325658484633408 m,0.007656428617291766 m,-0.022046327614422268 m,-0.02240379007564286 m,-0.02288155893520738 m,0.008427725286491494 m,0.023365754161865482 m,-0.0022493911649235088 m,-0.03213738531195531 m,0.005432313537735212 m,-0.026871518195605404 m,0.003028953203425999 m,-0.014649082878825936 m,0.019163090657585258 m,0.005513062867414931 m,-0.013570036735615076 m,-0.003914497265011363 m,-0.0034951681527104483 m,0.0002741653665552235 m,-0.016900463029418944 m,0.0006716744603849634 m,-0.01281877413679311 m,0.05825210204579534 m,-0.00031125520615660207 m,-0.015058319848254342 m,-0.011480041075969893 m,0.005993354300482423 m,-0.020013948006532445 m,-0.03515989872605019 m,-0.017328192557634736 m,0.002850388143741611 m,-0.019754441444263193 m,0.0032155924827712568 m,0.004433769166524826 m,0.0008270307883755379 m,-0.03409412913586607 m,-0.03289720970619925 m,0.012057062219284376 m,0.003053403648348052 m,-0.006632708083273542 m,-0.000734628197115228 m,-0.009365915336616126 m,-0.01427725173827099 m,-0.0061167996837419025 m,-0.026000025319145692 m,-0.03777105275572268 m,-0.014533481082462885 m,0.0013686961918146778 m,-0.037380304788879215 m,-0.009781609928978696 m,-0.0228117983353755 m,-0.019026790742685762 m,-0.03671126275970593 m,0.0048812883526778705 m,0.0038778917677184666 m,-0.03495856868638825 m,-0.008873753775063165 m,-0.028507703671710516 m,0.010787307408513414 m,-0.0022774630978226185 m,-0.017533903373266213 m,-0.008328038191599774 m,0.01440073808563369 m,-0.0029408053392643296 m,-0.01607313955718581 m,0.00306642096825982 m,-0.0021969552222280697 m,-0.00982284573397152 m,0.013226450366783382 m
0.013428718420769314 m,0.008545883849329527 m,0.01031615545470288 m,-0.007633382899051355 m,-0.01946123309353709 m,-0.014720323919355849 m,0.010985266747368883 m,0.002502652962206753 m,-0.0037195137947279022 m,-0.009341364648285833 m,-0.02903464472534978 m,-0.009335980834485724 m,-0.01130656007129005 m,-0.034946321007936376 m,0.0035340050074523788 m,-0.003694708582905548 m,0.0007907355129148641 m,-0.003132325823848703 m,0.002705634690855163 m,-0.003136648234587369 m,-0.021619737482723167 m,-0.0365903314123841 m,-0.022622224982178807 m,0.019632779709731096 m,0.02481291372469485 m,0.04983966494314984 m,0.020707806870873924 m,0.015547173027073313 m,0.016775738410956365 m,-0.02326664304960957 m,-0.024730040569700407 m,-0.00915876259957571 m,-0.029196311162145605 m,-0.003680578801542822 m,-0.0006742480533290518 m,-0.0007133427175816109 m,-0.031049947169400127 m,-0.029023033322111758 m,-0.027816917172110323 m,0.0055826241791194775 m,0.010939655187719666 m,-0.008846405229562038 m,-0.003068224006931075 m,-0.033492147458794364 m,-0.030215785287126096 m,0.0011772299753047832 m,0.01688266408027772 m,-0.006687742022911891 m,-0.009403513450692458 m,-0.03918702026146548 m,0.004855841212304313 m,-0.022308110261505476 m,0.005248827329801031 m,0.011316266432714883 m,0.01303324707681952 m,-0.0033810567145451387 m,-0.004148660605139298 m,-0.002363190817085581 m,-0.009321306313267996 m,-0.01150025864514248 m,-0.00709908977459861 m,0.005216959900913309 m,-0.009882478764268399 m,0.011159317776957778 m,-0.008861083049175988 m,-0.004919912360158207 m,-0.0045580547594354925 m,-0.002697002423580841 m,-0.011080621563557713 m,-0.004644117675731252 m
0.009442371753873857 m,-0.028118846137086706 m,-0.032403268388488726 m,-0.02184968109946439 m,-0.029761290686874275 m,-0.013764424499111527 m,-0.018667662438208055 m,-0.021360365347998567 m,0.004649730587583889 m,-0.0025775102514309367 m,-0.027687617813246135 m,-0.024152111493823014 m,0.005300549998313642 m,0.004937920463955692 m,0.0048605004640727145 m,-0.007958705334001337 m,0.013692935127753714 m,0.002497914466307094 m,-0.04469219776724387 m,-0.0007223365042428043 m,-0.004088434226506621 m,-0.028176416684186023 m,-0.00935018816474198 m,0.025426348580783298 m,0.03767462219616746 m,0.035474767916706895 m,0.03086767262884038 m,0.027712450656085963 m,0.0037758822383686663 m,-0.02970172549734329 m,-0.026090644772754246 m,-0.013063778212011101 m,-0.00039291584827694237 m,-0.0037614672639314506 m,6.558597119621368e-5 m,-0.021053853313699022 m,0.004542844229295184 m,0.0006275730439320171 m,-0.020333218295167654 m,0.003165134465778152 m,-0.019491693548619793 m,0.009729332158070036 m,-0.0039985692977388965 m,-0.017664856877690482 m,-0.03972180483785692 m,0.0041815030806198195 m,2.5570518982220847e-5 m,-0.010418840993406064 m,-0.03259068156144096 m,0.0003129970444142316 m,-0.0010539699784608558 m,-0.02343817404289794 m,0.0047420798110273665 m,0.006562885554092901 m,-0.008775068289207155 m,-0.03446405605755487 m,-0.032088664850210336 m,-0.0026273020561227156 m,-0.00849150556975431 m,-0.023742312256526787 m,-0.0008472602021676323 m,0.0006287282413914852 m,-0.02042156388512595 m,0.007618055476445562 m,-0.02791928215930639 m,-7.522222263744993e-5 m,-0.007120654825957473 m,0.010857767664720797 m,-0.0013591089653139932 m,0.002069714978663484 m
0.005963652746238779 m,-0.007959427330831659 m,-0.006343794549117376 m,-0.013462532642748215 m,0.016744133613428858 m,-0.024816197759676584 m,0.013685406368026065 m,-0.0004950266253160862 m,-0.008994090694883994 m,0.02832087783445303 m,0.0009754835301691855 m,-0.012863160676424457 m,0.0029923454277565043 m,0.006124289569278574 m,0.001251484240526679 m,0.004277442182726077 m,0.024001640088243903 m,-0.005482234565299393 m,-0.03359556270617503 m,-0.008760634098578635 m,-0.008813583338522335 m,-0.03968099134980463 m,0.020836585374901517 m,0.025607891445353914 m,0.012366278066075154 m,0.030479703331906194 m,0.025675651386201537 m,0.031261726000821 m,0.02709952870487342 m,0.0007977383784520953 m,-0.016375355696688132 m,-0.020959600485696228 m,-0.018025614567612536 m,-0.0235809864049088 m,-0.009067659863333688 m,-0.010275936748115555 m,-0.006473885156381698 m,-0.0037600672353974574 m,-0.021695807866883854 m,-0.023165329628859865 m,-0.019951520934760936 m,-0.03226308894154073 m,-0.030744479043704587 m,-0.020723852752531968 m,-0.037502393581668514 m,-0.027877800175666323 m,0.0009063558142372585 m,0.004669300728224357 m,-0.032068465820955794 m,-0.0023354675578346473 m,-0.029145896919274605 m,0.0011193843295629335 m,4.980536326826268e-5 m,0.0023004928917416123 m,-0.003861631790272213 m,0.0017899864487702644 m,-0.0022912808706578858 m,-0.006606946597244701 m,0.004799979252751996 m,0.003271763222642221 m,-0.0011605250971058467 m,-3.056802086831567e-5 m,-0.0009663532530481689 m,-0.02422862687038929 m,-0.0012133157646090353 m,-0.014287193499150419 m,-0.002275082817625673 m,-0.0012407708838466647 m,-0.0034860704334604975 m,0.007994653908994565 m
-0.008131269914532169 m,0.009788984192827144 m,-0.007439168582859423 m,-0.006941519248460537 m,-0.018877913997560114 m,-0.026061458489483158 m,0.0006122874447846982 m,-0.029874181388240828 m,0.010973302316127587 m,-0.026437028810992302 m,-0.0237850109303146 m,-0.008827447261499088 m,-0.01333527388969813 m,0.0027740751021134713 m,-0.005308428617855299 m,-0.000619140976507282 m,0.043576727910274116 m,0.005561397564537884 m,0.010892006493367745 m,0.017870173883363094 m,0.03864683088108123 m,0.015135830587883703 m,0.00537296907698348 m,0.00805212975757641 m,0.023717609863215472 m,0.03046303903370884 m,0.026009698837700768 m,0.02127542573753871 m,0.00765354014658115 m,0.008917977730487081 m,0.0001257317097689281 m,0.016974186295055205 m,-0.010446795884771376 m,-0.02387211955085533 m,-0.02385365355493363 m,-0.004711131271957214 m,-0.009247472853271432 m,-0.010592128287559177 m,0.0031280693417450323 m,-0.02682831918916051 m,-0.026555826381379433 m,-0.029022022414221027 m,-0.02386020876778261 m,-0.030810653300346047 m,0.01136908473782583 m,-0.0318641369770738 m,-0.0009626165437914835 m,-0.0010407674846497628 m,0.008203284399261435 m,-0.005387672798430998 m,0.0004514328815226065 m,0.0010088294824832644 m,-0.0034636245845298674 m,0.004916221811196664 m,0.0003697512946452264 m,-0.0002702785793111673 m,0.018918345048067664 m,0.00606338523592953 m,-0.0025079135718293344 m,0.00401123950559068 m,0.0007310140312419833 m,-0.023994734910242954 m,0.0011511628361908777 m,-0.0028852479108998352 m,0.002958253245754605 m,-0.0009530736508374105 m,-0.0005342534651937569 m,-0.008617007859715642 m,-0.006048353548951724 m,0.012836762071575691 m
-0.0002308818410554636 m,-0.009090584594261486 m,-0.004393146492766675 m,-0.0056517028266753755 m,-0.0063605883695174725 m,-0.0064353506488146195 m,-0.002185136665886489 m,-0.021196638606177487 m,-0.010704135882562582 m,-0.017365140330873885 m,-0.01051509366845238 m,-0.012307975325597909 m,-0.02598064125421473 m,-0.029782642842413054 m,0.0010863439226653782 m,-0.004491208600434504 m,0.025426679367257066 m,0.0009289611320113522 m,0.0168865697306515 m,0.020877394979109454 m,0.020234017292388273 m,0.013152289089525482 m,0.017339468884436826 m,0.009185076778159385 m,0.0010380005079326793 m,0.04078437252860567 m,0.044113993283509956 m,0.009567949731582814 m,0.015003730851702812 m,0.01381800494432639 m,0.00021125625954709903 m,-0.01634442885451648 m,-0.01890309275277957 m,-0.009102966170495108 m,-0.011981763394956602 m,-0.007015361454058677 m,-0.012582714502848091 m,-0.013459878964283689 m,-0.0017297325489522564 m,-0.011404506391770042 m,-0.013444916797375583 m,-0.03451875515737157 m,-0.004258828126097569 m,-0.024996898371242082 m,-0.017221637991099215 m,0.006316152134033359 m,0.016246607687740777 m,0.03242818438214101 m,0.001458885629482154 m,0.008238270034375716 m,0.005118048182843893 m,-0.000567894869426766 m,0.0049160645790991 m,0.0013315951083896493 m,-0.035095573041012074 m,-0.0036784594289756 m,-0.002017317825711018 m,0.00937898374741053 m,-0.0003950485741626153 m,0.002839761108894834 m,-0.001133080155341304 m,-0.03354204593429699 m,-0.009035756825376495 m,-0.03237551553051787 m,0.004865792143789349 m,-0.004498536664399921 m,0.00046003409180173094 m,-0.0015950276374212535 m,-0.002102844002806137 m,-0.0097552641150358 m
0.00996876830615534 m,-0.023892084331809116 m,0.0030406472000983342 m,0.004650644611526644 m,-0.00676432276819483 m,-0.03380546183590738 m,-0.0336044407961289 m,-0.034615168876808156 m,-0.014020857544334575 m,-0.02842697295467289 m,-0.001997422644972602 m,-0.012575934385029797 m,-0.009229591373479451 m,-0.028907816169070344 m,-0.0017559828893034535 m,-0.001370510405184433 m,0.013427057912625884 m,0.012176059329217281 m,0.04821143647543735 m,0.04142851221645216 m,0.0461576020625607 m,0.05170105869793318 m,0.008043522483507815 m,0.007328889329219379 m,0.01677187335461028 m,0.013906735079185495 m,0.02745260532055127 m,0.018576523313296178 m,0.015118702354445901 m,-0.011777184495077364 m,0.024357669135508075 m,0.0016610359011259845 m,0.009265950407328916 m,-0.013998091983562944 m,-0.004639053424444484 m,-0.00876682817088792 m,-0.004098464363497811 m,-0.012054970957183997 m,-0.011542372898045272 m,-0.030731507812834735 m,-0.008797203185221036 m,-0.034934832013615136 m,-0.008416968916545642 m,0.0006061759006179557 m,-0.016526217605974836 m,0.037763559485501474 m,0.0017374955702997852 m,0.022829366849560273 m,0.021819536427923225 m,0.030251465849364223 m,0.023838797899426112 m,0.01188912771281636 m,-0.03883034969417665 m,-0.0022970875434999982 m,-0.02884807003625056 m,0.0024822840796510093 m,-0.0036890708625314517 m,0.004028413436945044 m,0.01928292193251835 m,0.001233109711034075 m,0.017825767481117083 m,-0.000741460953673112 m,-0.004983456313890855 m,-0.022993800643593687 m,-0.02138655156236169 m,0.0009227237329945126 m,0.014398415092028216 m,-0.03255891198094574 m,-0.0013473519194455719 m,-0.009302917302857594 m
-0.019679970697630722 m,0.0009793683559706778 m,0.0024210428536690642 m,0.0036625905533753667 m,0.003971661039564367 m,-0.0021479321424209274 m,-0.0316672095702657 m,0.002110289677752064 m,-0.008599058780887958 m,-0.029710027829494834 m,0.005086801864699453 m,-0.0009711357961279532 m,-0.01996578425734441 m,-0.0032409865743119326 m,2.0090200301581262e-5 m,0.006727948702710762 m,0.034219760307344416 m,0.002366498446008336 m,-0.0034614164273492065 m,0.021381206999649294 m,0.045404958683811 m,0.028755605633811854 m,0.022433495536944292 m,0.000342152117752903 m,0.014942110620339122 m,0.010882417660155852 m,0.020159684162287306 m,-0.018551506406694784 m,-0.012745734199519632 m,-0.013670971159911005 m,0.0021510676345002366 m,-0.004591892608210912 m,-0.017691350474649425 m,0.005333084081925676 m,0.004045088871663438 m,-0.00763134524919451 m,-3.522405010869534e-5 m,-0.0020201730573390364 m,-0.02845886899644512 m,-0.0012542444504646255 m,-0.0002092787412024677 m,-0.019966039161907645 m,-0.01251374123356186 m,-0.006576516705457891 m,0.021400265408821895 m,0.03823434801613246 m,0.029367464102428187 m,0.01732286070171085 m,0.013372638901998357 m,0.00924551604706636 m,-0.02419960243364727 m,0.01499916743342311 m,-0.012065849072911305 m,0.0010657950288432971 m,-0.008690499546766262 m,-0.039454414626320045 m,0.013439923889286831 m,-0.0020795279395784405 m,0.008915711281773042 m,0.0017442219881118604 m,-0.03395072882887007 m,-0.039748991221699725 m,-0.03763215644845275 m,-0.012993946821104885 m,-0.005841495076595038 m,0.0005772025624253274 m,0.007126928049267178 m,-0.002148198905871368 m,8.947499114242419e-5 m,-0.002557899392627405 m
0.0012353318137172664 m,-0.021115103272229874 m,0.005010234229011701 m,0.002490080672068018 m,-0.015351720839589689 m,-0.00790539090429121 m,-0.001729528290539406 m,-0.029731433394509565 m,-0.004612432636967867 m,-0.014234836100818882 m,-0.024186699496496544 m,-7.975839474028135e-5 m,-0.029550860167134374 m,-0.03549973619379898 m,-6.514265687229681e-5 m,0.012748120340880575 m,0.014255983555244711 m,0.018100069650664352 m,0.00911580334649642 m,0.011930244668533874 m,0.023266399527344106 m,0.03022341261409167 m,0.04951037016864035 m,0.003774094022858776 m,0.015093681116923108 m,-0.017596783119060433 m,0.0007119534705850583 m,-0.02618573482840958 m,-0.007558185279044949 m,-0.014066833273851387 m,-0.009084325643158309 m,-0.004380564630423578 m,-0.014132396118405666 m,-0.003044293635795725 m,0.0063161801578033305 m,0.012051216568046641 m,-0.0031542275227920413 m,0.016882643077920534 m,0.006889335921009376 m,-0.01775412832970602 m,-0.003080841865134687 m,-0.017992170884411962 m,0.0006024083934690339 m,-0.027100398500856215 m,0.04749767250213921 m,0.050058048162327395 m,0.04444067427292708 m,-0.011622138446305996 m,0.007007335784777524 m,0.0064093983873974025 m,0.006817381974471459 m,-0.015592035530531234 m,-0.005114681830292511 m,0.002595177819806338 m,0.0013958663934232618 m,-0.024089132344663255 m,-0.003593020971457861 m,0.005262193335859422 m,0.01790023612973357 m,-0.044568674303384626 m,-0.029878170238767154 m,-0.008792105465438738 m,-0.020127139225266433 m,-0.022687989401873665 m,-0.0012086989216300026 m,0.006533718597673044 m,0.004890466502068591 m,5.0595145495435645e-6 m,-0.021341608619124486 m,-0.0016778343121899297 m
8.094510305056701e-5 m,0.002705325507243117 m,0.0062806062554656705 m,-0.0026604229485442943 m,-0.03876490909700436 m,-0.004222025128896689 m,-0.011442164585332648 m,-0.03189298392529594 m,-0.02378699339539736 m,0.0025876355036729137 m,-0.027727849361490087 m,-0.0326288401323751 m,-0.04088726217298699 m,-0.02775004123736835 m,0.03318142321584361 m,0.0069457417993135095 m,0.026995444938279434 m,0.017176667403866475 m,0.020175004789940942 m,0.015225972664268284 m,0.024711270879350877 m,0.03994164339814432 m,0.00530900925326705 m,0.009641020044547588 m,0.002358396161348253 m,-0.0009420938721689254 m,0.013207998584960023 m,-0.009181718476405365 m,-0.0077616342048045794 m,-0.03097692485944492 m,-0.020426342877023274 m,-0.02994980488750798 m,-0.003256549199733172 m,-0.0030208579561730176 m,0.001224926379052249 m,-0.006954908506884294 m,-0.015048155294657306 m,-0.006272881895853288 m,-0.007183355726326113 m,0.006329121992266096 m,-0.028340153066174878 m,0.003196065699597739 m,-0.01944875949686775 m,-0.017548031234412065 m,-0.006884924141075999 m,0.0034139337509841994 m,-0.004780238427393613 m,0.00036327035296324084 m,-0.03907237441118383 m,0.004830361059390498 m,-0.023282837784485366 m,0.0026963942695275023 m,-0.004402876908351061 m,-0.03763959994839183 m,-0.0014504281884484271 m,-0.003807496903611707 m,-0.001150314326281432 m,-0.0026729066455573047 m,-0.03906843496737622 m,0.010419323037680783 m,-0.03412401292957412 m,-0.023788963508252436 m,-0.02000230973686712 m,-0.029652314652963696 m,-0.03789542952186764 m,0.00524233450249767 m,0.005682771125790964 m,-0.003479626264095259 m,0.02171251272553576 m,0.016778075947442517 m
-0.00018441667624813363 m,0.0017382125080516175 m,-0.004319056140239752 m,-0.03082649402202975 m,-0.038616612383215454 m,-0.011990195030449513 m,0.00028672609005298 m,0.0010198865552411007 m,0.002508955493169651 m,0.0024673933992644947 m,0.0020659823800244226 m,-0.010007097932813735 m,-0.03412813928612479 m,-0.011662914412617909 m,-0.02326687682695905 m,-0.01836929206724136 m,0.04993647122195455 m,0.028928637945391245 m,0.026699007571721722 m,0.02702774749828052 m,0.01731006026510329 m,-0.009103836179356506 m,0.0008828019108477747 m,-0.01315197800582979 m,-0.005005274806990201 m,-0.00232654653011366 m,0.015813281058292716 m,-0.008666887685734537 m,-0.004162502969585091 m,-0.007096128606818297 m,-0.030414482772734175 m,-0.009806000078093291 m,-0.006842217498693515 m,-0.0033555100510511693 m,-0.012797926114444635 m,-0.009896362592684227 m,-0.011290382133601895 m,-0.002170972302685925 m,-0.004952910466265337 m,-0.0066670604927878685 m,-0.008044043512633436 m,-0.0008862317749134263 m,-0.030030304239382133 m,-0.01595753316231452 m,-0.013932395289565136 m,-0.016440272010918022 m,0.0025076424566989886 m,0.0012701394357534923 m,-0.026737943157719712 m,-0.03210124888008181 m,0.008767707836327077 m,-0.0005363805987101955 m,-0.004126439810129057 m,-0.002653647085423927 m,-0.0013702165416233925 m,-0.004827593889963566 m,-0.024920423428483218 m,0.007910799158359794 m,0.02159967596229251 m,-0.031383505393591804 m,0.0026477871729113645 m,-0.03138671570108187 m,-0.022646568565313885 m,-0.01535254068627978 m,-0.013946994497956666 m,-0.03869083645940208 m,-0.0030993107410992593 m,-0.0021882980415810493 m,0.013203463958291195 m,0.004347174161885903 m
-0.0028602299351376814 m,0.00012939757645824557 m,0.014527867361501023 m,-0.03285174162310511 m,-0.0365916562979578 m,0.0008403596986568118 m,0.002491002036556722 m,-7.491120764768766e-5 m,0.001055457137653093 m,-0.009474006761045928 m,0.017952600586035317 m,0.0022237525848254336 m,-0.013330354495494134 m,-0.020276710209834903 m,-0.019847347311440444 m,-0.017043225134393936 m,0.0664608830863429 m,0.06830311096111075 m,0.026395905201667347 m,0.01307435119873901 m,0.02899257608580541 m,0.041834704531204636 m,-0.002808210617928353 m,0.000964431219870221 m,-0.009075988753124875 m,-0.006468987603817311 m,-0.0023269011350990354 m,-0.017465798179372882 m,0.003886364483747684 m,-0.008044518340184936 m,-0.0294815887035611 m,0.0028523234931441266 m,0.016093360447328564 m,0.00323618089268507 m,-0.009855843952308874 m,0.007000943210307753 m,-0.02441250366590708 m,-0.004676761970465293 m,-0.012426102086898538 m,-0.04084779141722095 m,-0.000692968475966893 m,-0.0011092757467139336 m,-0.019440512500558782 m,-0.021142483318143945 m,-0.03425498818268835 m,-0.028235846957315403 m,-0.02761947618347449 m,0.014111984302495273 m,-0.00047717304563121843 m,-0.04501024447001356 m,0.013021849416013254 m,0.001382146195716416 m,0.003274383386234092 m,-0.005567801534560601 m,-0.0012028401978270153 m,0.0016843924258296283 m,-0.017522642803371014 m,-0.026419185358236064 m,-0.03496636655195573 m,-0.03821773444096266 m,-0.03967580788117431 m,-0.00835145840465401 m,0.01130936651328085 m,0.0053075705519205485 m,-0.019446486613531988 m,-0.01963655896051364 m,0.0006184657171246499 m,0.02290628988249921 m,0.021369045663433894 m,0.0019701843147572617 m
-0.0004685088029603435 m,0.019703876468355475 m,-0.0025326070683746593 m,-0.002756206487056545 m,-0.03420954394162834 m,-0.024606107216115447 m,-0.004794841531420957 m,-0.003580805839632717 m,-0.013180074924036944 m,0.07852956802683764 m,0.0015560055433923026 m,-0.011666545876025225 m,0.001198935153681191 m,0.0021950529980543365 m,-0.035635085792399934 m,0.005570952764671233 m,0.06440589356960658 m,0.07412142433678781 m,0.09407312667904222 m,0.06291581407985092 m,0.051073495325248075 m,0.04150621601652915 m,-0.0014341939471975707 m,-0.0048429956149078635 m,-0.00023630431579135802 m,-0.001691599176602665 m,-0.009328280833940994 m,0.01810146571397553 m,-0.012395497777141884 m,-0.002384816720493177 m,-0.007825721760454485 m,-0.02083383998667898 m,0.0018275652401840148 m,0.005220247695191915 m,-0.014865360854308562 m,0.012538302048973549 m,-0.014055244291867552 m,-0.007725079346769803 m,0.003831789969964916 m,0.0020645338813594094 m,-0.0009738475429088567 m,-0.03915486476708452 m,-0.020658188695740876 m,0.012461109014132887 m,-0.033913831458129096 m,-0.0446142565345653 m,-0.036423510377794344 m,0.009940436445916134 m,-0.020563096402071324 m,0.0030692858217165053 m,-0.002533440370534379 m,-0.025346491230038737 m,-0.0033279462075981314 m,-0.001250528872994039 m,-0.035092261817631254 m,-0.014678685572221184 m,-0.015687807254089137 m,-0.0017996229808190378 m,-0.030081095375507516 m,-0.03915013582489735 m,0.00207230265235836 m,0.002134759298066058 m,-0.023097933097602663 m,0.011313377236525923 m,-0.027967552826254405 m,-0.0398631347770646 m,-0.028933611006017657 m,0.026457899168597976 m,-0.006894186780236566 m,-0.0391844988196155 m
-0.026967733686831252 m,0.0013884066063809541 m,-0.03931389953430653 m,-0.03864985351334127 m,-0.032068501329376886 m,-0.020533268259349313 m,0.0017580904119967045 m,-0.008512716092461403 m,-0.017714785102391772 m,-0.004865572253116568 m,-0.016071251007467424 m,-0.04265671478518129 m,-0.004645076957764616 m,-0.026121098994934755 m,0.05655952301785305 m,0.069725194961471 m,0.09325266294105461 m,0.07091832960364286 m,0.0866385649889665 m,0.059551200660799 m,0.0555925498581189 m,0.016578166339471068 m,0.014054926527734324 m,0.00022452332223110716 m,-0.010688252881656979 m,-0.017065310742808038 m,0.018315899204765174 m,-0.016982512460181454 m,0.013637883958885766 m,-0.00890212835243176 m,0.0028402681369996685 m,-0.0182350664623101 m,-0.01781370941235849 m,0.01324149587219381 m,-0.012134971354107904 m,-0.014133744086855415 m,-0.02315460657553814 m,0.021473342350631697 m,-0.023301965538188085 m,-0.0034626498979406506 m,-0.01433736634795224 m,0.004403515599811669 m,0.01957445278958403 m,-0.014430683869036898 m,-0.022439452723403974 m,-0.0009195349538231312 m,-0.03995958878102357 m,0.004128600706494012 m,-0.0363183640569531 m,-0.027071271767276528 m,0.001288138291350549 m,-0.004109986623134887 m,0.005779575262153003 m,0.006149485154388401 m,-0.003629851443804455 m,-0.0043948667163817845 m,-0.023748589216310734 m,-0.011654276532034658 m,-0.02452618618730895 m,0.001776048266272312 m,0.00438139449311592 m,-0.0012045136543221702 m,-0.021929974017488973 m,-0.023936949791696804 m,-0.0173313311191734 m,-0.0027345426713480947 m,-0.004721092862013165 m,-0.00264462328680537 m,-0.0183984725591273 m,-0.035726980268229624 m
